time,species,N,parm,parm_val,parm_val_char,parm_char
1,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
2,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
3,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
4,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
5,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
6,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
7,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
8,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
9,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
10,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
11,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
12,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
13,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
14,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
15,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
16,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
17,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
18,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
19,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
20,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
21,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
22,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
23,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
24,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
25,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
26,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
27,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
28,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
29,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
30,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
31,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
32,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
33,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
34,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
35,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
36,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
37,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
38,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
39,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
40,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
41,Susceptible annual,0,g_I_S,0,0x,Mv germination virulence
