time,species,N,parm,parm_val,parm_val_char,parm_char
1,Susceptible annual,10,g_I_S,0,0x,Mv germination virulence
2,Susceptible annual,34.54438314398269,g_I_S,0,0x,Mv germination virulence
3,Susceptible annual,196.09800332254008,g_I_S,0,0x,Mv germination virulence
4,Susceptible annual,1015.2002483980583,g_I_S,0,0x,Mv germination virulence
5,Susceptible annual,3675.758463830144,g_I_S,0,0x,Mv germination virulence
6,Susceptible annual,7076.541405266474,g_I_S,0,0x,Mv germination virulence
7,Susceptible annual,8836.90375753088,g_I_S,0,0x,Mv germination virulence
8,Susceptible annual,9411.97426919079,g_I_S,0,0x,Mv germination virulence
9,Susceptible annual,9571.383514037172,g_I_S,0,0x,Mv germination virulence
10,Susceptible annual,9613.412622231794,g_I_S,0,0x,Mv germination virulence
11,Susceptible annual,9624.327885588407,g_I_S,0,0x,Mv germination virulence
12,Susceptible annual,9627.141601809564,g_I_S,0,0x,Mv germination virulence
13,Susceptible annual,9627.860789903256,g_I_S,0,0x,Mv germination virulence
14,Susceptible annual,9628.042011262913,g_I_S,0,0x,Mv germination virulence
15,Susceptible annual,9628.086800058461,g_I_S,0,0x,Mv germination virulence
16,Susceptible annual,9628.097456237037,g_I_S,0,0x,Mv germination virulence
17,Susceptible annual,9628.099821148076,g_I_S,0,0x,Mv germination virulence
18,Susceptible annual,9628.100271705083,g_I_S,0,0x,Mv germination virulence
19,Susceptible annual,9628.100322783012,g_I_S,0,0x,Mv germination virulence
20,Susceptible annual,9628.100309624228,g_I_S,0,0x,Mv germination virulence
21,Susceptible annual,9628.100295654518,g_I_S,0,0x,Mv germination virulence
22,Susceptible annual,9628.100287822124,g_I_S,0,0x,Mv germination virulence
23,Susceptible annual,9628.10028411547,g_I_S,0,0x,Mv germination virulence
24,Susceptible annual,9628.100282491,g_I_S,0,0x,Mv germination virulence
25,Susceptible annual,9628.100281803032,g_I_S,0,0x,Mv germination virulence
1,Infected annual,0,g_I_S,0,0x,Mv germination virulence
2,Infected annual,23.44311150836587,g_I_S,0,0x,Mv germination virulence
3,Infected annual,133.6878933218318,g_I_S,0,0x,Mv germination virulence
4,Infected annual,692.9018953032015,g_I_S,0,0x,Mv germination virulence
5,Infected annual,2506.051264623103,g_I_S,0,0x,Mv germination virulence
6,Infected annual,4786.274060679638,g_I_S,0,0x,Mv germination virulence
7,Infected annual,5917.925045316263,g_I_S,0,0x,Mv germination virulence
8,Infected annual,6271.960136396431,g_I_S,0,0x,Mv germination virulence
9,Infected annual,6367.997785543853,g_I_S,0,0x,Mv germination virulence
10,Infected annual,6393.129983252306,g_I_S,0,0x,Mv germination virulence
11,Infected annual,6399.641417472634,g_I_S,0,0x,Mv germination virulence
12,Infected annual,6401.317799982004,g_I_S,0,0x,Mv germination virulence
13,Infected annual,6401.745643352699,g_I_S,0,0x,Mv germination virulence
14,Infected annual,6401.853177237095,g_I_S,0,0x,Mv germination virulence
15,Infected annual,6401.879659256721,g_I_S,0,0x,Mv germination virulence
16,Infected annual,6401.885914753328,g_I_S,0,0x,Mv germination virulence
17,Infected annual,6401.887283662316,g_I_S,0,0x,Mv germination virulence
18,Infected annual,6401.887535412558,g_I_S,0,0x,Mv germination virulence
19,Infected annual,6401.887559018885,g_I_S,0,0x,Mv germination virulence
20,Infected annual,6401.887548417586,g_I_S,0,0x,Mv germination virulence
21,Infected annual,6401.887538985049,g_I_S,0,0x,Mv germination virulence
22,Infected annual,6401.88753387477,g_I_S,0,0x,Mv germination virulence
23,Infected annual,6401.887531489357,g_I_S,0,0x,Mv germination virulence
24,Infected annual,6401.887530451324,g_I_S,0,0x,Mv germination virulence
25,Infected annual,6401.887530013228,g_I_S,0,0x,Mv germination virulence
1,Annual,10,g_I_S,0,0x,Mv germination virulence
2,Annual,57.98749465234856,g_I_S,0,0x,Mv germination virulence
3,Annual,329.78589664437186,g_I_S,0,0x,Mv germination virulence
4,Annual,1708.1021437012598,g_I_S,0,0x,Mv germination virulence
5,Annual,6181.809728453247,g_I_S,0,0x,Mv germination virulence
6,Annual,11862.81546594611,g_I_S,0,0x,Mv germination virulence
7,Annual,14754.828802847143,g_I_S,0,0x,Mv germination virulence
8,Annual,15683.93440558722,g_I_S,0,0x,Mv germination virulence
9,Annual,15939.381299581026,g_I_S,0,0x,Mv germination virulence
10,Annual,16006.542605484101,g_I_S,0,0x,Mv germination virulence
11,Annual,16023.969303061042,g_I_S,0,0x,Mv germination virulence
12,Annual,16028.459401791568,g_I_S,0,0x,Mv germination virulence
13,Annual,16029.606433255954,g_I_S,0,0x,Mv germination virulence
14,Annual,16029.895188500008,g_I_S,0,0x,Mv germination virulence
15,Annual,16029.966459315183,g_I_S,0,0x,Mv germination virulence
16,Annual,16029.983370990365,g_I_S,0,0x,Mv germination virulence
17,Annual,16029.987104810392,g_I_S,0,0x,Mv germination virulence
18,Annual,16029.98780711764,g_I_S,0,0x,Mv germination virulence
19,Annual,16029.987881801897,g_I_S,0,0x,Mv germination virulence
20,Annual,16029.987858041814,g_I_S,0,0x,Mv germination virulence
21,Annual,16029.987834639567,g_I_S,0,0x,Mv germination virulence
22,Annual,16029.987821696894,g_I_S,0,0x,Mv germination virulence
23,Annual,16029.987815604825,g_I_S,0,0x,Mv germination virulence
24,Annual,16029.987812942323,g_I_S,0,0x,Mv germination virulence
25,Annual,16029.98781181626,g_I_S,0,0x,Mv germination virulence
1,Perennial first-year,1189.4075986918406,g_I_S,0,0x,Mv germination virulence
2,Perennial first-year,1185.3132733586701,g_I_S,0,0x,Mv germination virulence
3,Perennial first-year,1165.771152586001,g_I_S,0,0x,Mv germination virulence
4,Perennial first-year,1066.7275309222873,g_I_S,0,0x,Mv germination virulence
5,Perennial first-year,742.1306198880991,g_I_S,0,0x,Mv germination virulence
6,Perennial first-year,321.19722160418206,g_I_S,0,0x,Mv germination virulence
7,Perennial first-year,100.42283706114927,g_I_S,0,0x,Mv germination virulence
8,Perennial first-year,27.633449786973042,g_I_S,0,0x,Mv germination virulence
9,Perennial first-year,7.314654536024529,g_I_S,0,0x,Mv germination virulence
10,Perennial first-year,1.917821201824713,g_I_S,0,0x,Mv germination virulence
11,Perennial first-year,0.5019673277642108,g_I_S,0,0x,Mv germination virulence
12,Perennial first-year,0.13137679262982266,g_I_S,0,0x,Mv germination virulence
13,Perennial first-year,0.03438973360447485,g_I_S,0,0x,Mv germination virulence
14,Perennial first-year,0.009002979599149044,g_I_S,0,0x,Mv germination virulence
15,Perennial first-year,0.002357045745818773,g_I_S,0,0x,Mv germination virulence
16,Perennial first-year,6.171075352472575e-4,g_I_S,0,0x,Mv germination virulence
17,Perennial first-year,1.6156916145079506e-4,g_I_S,0,0x,Mv germination virulence
18,Perennial first-year,4.230172627384145e-5,g_I_S,0,0x,Mv germination virulence
19,Perennial first-year,1.1075377284004251e-5,g_I_S,0,0x,Mv germination virulence
20,Perennial first-year,2.8997416063504526e-6,g_I_S,0,0x,Mv germination virulence
21,Perennial first-year,7.592070004995256e-7,g_I_S,0,0x,Mv germination virulence
22,Perennial first-year,1.987747250283262e-7,g_I_S,0,0x,Mv germination virulence
23,Perennial first-year,5.139607948198524e-8,g_I_S,0,0x,Mv germination virulence
24,Perennial first-year,1.3064136955519955e-8,g_I_S,0,0x,Mv germination virulence
25,Perennial first-year,3.312337553882276e-9,g_I_S,0,0x,Mv germination virulence
1,Perennial adult,1000.0940337760189,g_I_S,0,0x,Mv germination virulence
2,Perennial adult,1000.0942606422007,g_I_S,0,0x,Mv germination virulence
