iteration,disease,resident,E.A,E.P,e.A,e.P,s,b.A,b.P,Y.A,y.1,Y.P,g.A,g.P,l.A,l.P,L.A,L.P,beta.A,beta.P,ann_invades,per_invades,per_viable,outcome,litter_producer,litter_tolerator,iterationF,ann_rel_abund,per_rel_abund,eq_litter,Resident
1,without disease,E. virginicus,3.2350243457996607e-4,0.0012619052696432327,0.19628673657122814,0.10847282516259599,0.99,12.780022765970227,4.329218551476185,1.6285587082693798,3.175898735686503e-4,42.97941225739463,0.819167816015971,0.17679077222065534,215.33968397714202,68771.80109725542,2402.445145909223,57146.02942125789,0.010600154618893116,0.0014867139743579532,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,1,0,1,57145.8694660927,Resident: E. virginicus
2,without disease,E. virginicus,0.022238259640498456,0.07019989978521665,0.21518101960401093,0.2194959186166766,0.9456269258296521,21.0120093768081,4.051994565645225,41.76923675548698,0.027236962422091785,5.17881727156175,0.7903517625732562,0.14292045339222026,601.5115294002285,256.4001915720854,13554.596798042789,5203.930216936033,0.0016672327241865812,4.0867706951357315e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,2,4.834373881250242e-109,1,5203.930216936031,Resident: E. virginicus
3,without disease,E. virginicus,0.04319672534289588,0.019199416751112426,0.18744706994562313,0.08722886253201051,0.9851063739166177,11.750058091833756,3.8730588939862765,11.084458717027811,0.00522094195707901,3.3567944175468485,0.7818277190526928,0.22204509972536957,186.14905263909372,503.4960621058708,9819.460148770218,6994.2643054202135,4.774457462591319e-4,5.066019898911388e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: E. virginicus,3,0,1,6994.2637589136475,Resident: E. virginicus
4,without disease,E. virginicus,0.061085429316812455,0.015147406092379597,0.18493772636334402,0.21903431825237094,0.9198187295654574,16.196749132283276,6.084514284120005,68.58115151226205,0.06449621440191931,23.531926569451283,0.8171475197944946,0.2146989058219101,235.53238328862346,319.1572911675398,9222.606202809015,1986.2482202524054,0.0010207817904244448,0.0067766890561250645,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,4,1,1.1040613575857502e-26,1986.2482202524052,Resident: E. virginicus
5,without disease,E. virginicus,0.07485212076232133,0.06733379669676297,0.18865621476727237,0.12847587619980944,0.9886668596714692,14.76178358377877,4.326390194908015,21.007394284702972,139.4919176063963,1.017593140769821,0.7705746282657049,0.0610209790280606,119.75266698192196,72.17632983256122,7938.9817245730255,2628.781115751006,5.783614659411884e-4,3.454241326516395e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,5,0.9887955509897922,0.011204449010207795,2628.781115806142,Resident: E. virginicus
6,without disease,E. virginicus,0.17485467978714994,0.21725118979054456,0.21515889010627162,0.21913684675441458,0.9140737563206379,10.98223370085283,4.191009860195744,343.1983843067468,1.8533657916421904,7.182416824828232,0.7707466686919842,0.04422923250946177,222.92682687798003,3.730466348341079,6464.678418591478,174.31184998216668,0.0013223494658415752,4.9793610023734207e-5,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,6,1,6.174154004740093e-35,174.31184998216628,Resident: E. virginicus
7,without disease,E. virginicus,0.0015213126201280604,7.144899795286086e-4,0.20786522399700902,0.07913567126941673,0.99,10.120209902410071,3.4056614132597147,0.3435258768086109,8.112194292242984e-6,96.6384650424564,0.7840482795402787,0.1385912834294169,117.62421135488917,225159.37141541237,4594.168103950608,114315.52369157858,0.0011865038951037255,9.601370204068982e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,7,0,1,114315.21101112623,Resident: E. virginicus
8,without disease,E. virginicus,0.04351794390345247,0.10452341487892397,0.21743270532473363,0.2173981726822409,0.9839120565041679,18.20180256663606,3.1742704565283293,17.958835285247577,0.02939395652782406,1.505182055451936,0.7855389080229783,0.09758469575089915,491.5779125886804,322.555205912505,20535.480056508783,8033.580209616535,4.974610890193206e-4,1.3442321565199458e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,8,2.2519331666316399e-175,1,8033.57700707309,Resident: E. virginicus
9,without disease,E. virginicus,0.14968940841868095,0.009987615442308822,0.20242769939601812,0.10603109437196397,0.9597234253510082,15.69909657434291,1.6700077435715854,8.427161290307962,0.008821724893579257,19.455461940432794,0.7916951690088088,0.19862578452055918,74.54703138252562,566.9004043072124,9031.239018416065,1405.3859110817414,2.5069137049916796e-4,0.006842431766498312,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,9,0.9999999936977025,6.302297455718445e-9,1405.38591108174,Resident: E. virginicus
10,without disease,E. virginicus,4.2244623622692974e-40,1.8123689035907788e-39,0.21726185654511915,0.2182749538405821,0.9336572217464884,17.948646057223023,5.283425353724543,1.4011387299713004e-37,32163528672499504e40,4.0249753817561546e-38,0.7709058929629047,0.1209509796666075,355.03397825217354,5222495157468058e42,20102.809758341187,7204234615867687e16,3.5607838412064053e-4,8.338556433060346e-5,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,10,0,1,1444329995821094e27,Resident: E. virginicus
