iteration,disease,resident,E.A,E.P,e.A,e.P,s,b.A,b.P,Y.A,y.1,Y.P,g.A,g.P,l.A,l.P,L.A,L.P,beta.A,beta.P,ann_invades,per_invades,per_viable,outcome,litter_producer,litter_tolerator,iterationF,ann_rel_abund,per_rel_abund,eq_litter,Resident
1,without disease,E. virginicus,0.053560779415081645,0.10187862029265501,0.21948670064902204,0.21999985619065762,0.9651642081069949,15.068352684908922,4.995447159083945,11.05334403629029,0.07230823258406346,1.9946430376365503,0.8077150595582465,0.16378847732647853,288.4526685597795,308.59613771826184,8383.754702726803,4239.437532051521,7.307336535287656e-4,2.734869999128232e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,1,1.1339528582542143e-269,1,4239.437532051503,Resident: E. virginicus
2,without disease,E. virginicus,0.21425180937734653,0.16001995280397646,0.21935197629882444,0.21967504111874778,0.99,14.297401537490462,3.6117318476457805,22.363015250921034,0.019742617366247,3.541549747288012,0.8049727704011771,0.016725439832083515,223.46572519455523,75.19604411288121,28411.171709416692,1179.459544443613,2.0194489374751114e-5,3.1626150946421905e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,2,0.9999940253654851,5.974634514871766e-6,1178.7644118895269,Resident: E. virginicus
3,without disease,E. virginicus,0.13488806496647932,0.16840445498084178,0.21562762024098572,0.21998150121223609,0.963320707496412,15.128565373718425,4.065251178158872,67.21379119461203,0.4476365317324674,20.975503466407133,0.7446902617129866,0.00964756372146923,203.41600332963753,23.524036086435682,5024.278901187594,413.04083800806063,0.0014491716694049334,7.414978524469742e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,3,0.9999999999998902,1.0985635991330851e-13,413.0408380065238,Resident: E. virginicus
4,without disease,E. virginicus,0.20420516730167793,0.21790871177319945,0.2190635898534178,0.21950951406387456,0.9440080809671367,15.542884146000173,3.292742957740569,47.6430194372488,0.14164823358059528,3.087202453805839,0.7899926701637476,0.07784185495201568,135.75150162507188,15.874100991235172,8905.886017852807,286.86971138748777,2.536420653719194e-4,2.5608161929929592e-5,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,4,1,3.869344476596201e-18,286.8697113874784,Resident: E. virginicus
5,without disease,E. virginicus,0.11234530835911388,0.05781329895693015,0.2193799962698088,0.21990324676491513,0.9685601080233215,13.521427842528144,4.0398436101402915,9.68825575837788,0.0019197104399053281,7.492447670219158,0.7701171714051581,0.06907873222788312,97.74095208813024,218.9185134310356,4397.416454875222,1369.2290623553931,6.958145370999023e-4,0.00204763347999702,0,0,1,priority effects,Producer: M. vimineum,Tolerant: E. virginicus,5,1.3528184646949102e-56,1,1369.2290623553906,Resident: E. virginicus
6,without disease,E. virginicus,0.07230189568937014,0.2159926482429882,0.2187851444729457,0.21999998135286464,0.99,13.302160207864304,4.2840148106391,37.48631917811678,0.31416726914170956,0.5544078909377683,0.7838584892151476,0.0794905053874122,191.21669446543814,29.34111703896916,3301.2078901899667,723.4759139966882,0.0028097950452362417,2.5730773305554854e-5,1,1,1,coexistence,Producer: M. vimineum,Tolerant: M. vimineum,6,0.963787095713336,0.03621290428666398,721.0471038948747,Resident: E. virginicus
7,without disease,E. virginicus,0.16391880207559567,0.1976152245750423,0.2120041369589152,0.21985538347747316,0.8793063601312036,15.05849696412414,0.4667364015755757,46.23214794281424,0.5593794946807265,9.308537758678444,0.7838528897683801,0.05829633487633882,255.48673984869026,35.63084320683019,3652.694453426912,82.23891219113796,0.0035670279827078794,0.0013684852744335388,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,7,1,1.2045597247556411e-34,82.23891219113793,Resident: E. virginicus
8,without disease,E. virginicus,0.18901944368635573,0.12854873609340303,0.21805948445662812,0.21997061317853414,0.9746165753111304,14.870714790611261,3.820136213581884,417.09830940762936,0.05661917455825305,4.681016146069832,0.7609965012873863,0.03986891302207692,2077.5543777364996,49.23562314240116,40394.078070474716,638.2290149433816,2.407211210800063e-4,0.001114309361913379,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,8,0.9999999999999327,6.72768754440548e-14,638.2290145647898,Resident: E. virginicus
9,without disease,E. virginicus,0.20919685191843448,0.12542452094596238,0.21948638380639024,0.2195129918652382,0.9747674195596914,14.020093389659992,3.7742815511735435,58.98284877130212,0.47647900705189694,3.783469495741485,0.7955395962790569,0.04967899421229118,281.6092377726499,46.04877339873925,20196.68798658579,574.7314191721159,8.558064063739176e-5,0.001305235929777818,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,9,0.9999999999991508,8.492622031997798e-13,574.7314189294738,Resident: E. virginicus
10,without disease,E. virginicus,0.0557651964262513,0.06540458566210615,0.21976814613304774,0.2198026596895271,0.99,14.648596712744277,3.3931737611555355,87.14954076126287,0.06864667123369668,1.6455348389180169,0.7566673208017531,0.08854094525094858,791.0347125357863,176.58424248038824,7396.797721515168,1062.2613968711698,0.002768657965292172,0.0022223607801038488,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,10,0.9999818979665065,1.810203349349647e-5,1062.2313524722372,Resident: E. virginicus
