Parameter,Estimate
alpha_AA_I,0.0018374203241574188
alpha_AA_S,0.0011622462235073745
alpha_AF_I,0
alpha_AF_S,0
alpha_AP_I,0
alpha_AP_S,3.5517922539457714e-4
alpha_FA_I,4.113677967605777e-4
alpha_FA_S,8.039481689633847e-4
alpha_FF_I,0
alpha_FF_S,0
alpha_FP_I,0.007808383132629296
alpha_FP_S,0.0013167836097408678
alpha_PA_I,5.437044735214721e-4
alpha_PA_S,0
alpha_PF_I,0
alpha_PF_S,0
alpha_PP_I,0.007808383132629296
alpha_PP_S,0.0013167836097408678
r_A_I,0.03732114557940697
r_A_S,0.038772231304150875
r_F_I,0.03573106284217064
r_F_S,0.03769703257500638
r_P_I,0.03134498422257651
r_P_S,0.02867175833578186
beta_AA,0.03821817221375853
beta_AA,0.04836055962787851
beta_AF,8.141589121252519e-4
beta_AF,0.0234124792007014
beta_AP,0.0043963797395309085
beta_AP,0.008807268511475234
beta_FA,0.03153577326383831
beta_FA,0.06813475856152575
beta_FF,0
beta_FF,0.041828448220097916
beta_FP,0
beta_FP,0.03431439567737486
beta_PA,0.0709431825219581
beta_PA,0.06651735579814763
beta_PF,0.012434150958125206
beta_PF,0.016239650540168557
beta_PP,0.0032776787758466075
beta_PP,0
m_A,0.0019382188280760476
m_F,0.0019382188280760476
m_P,0.0019382188280760476
h,5500
beta_AC,1e-4
beta_FC,1e-4
beta_PC,1e-4
v_A,0.001
v_F,0.001
v_P,0.001
a,0.5
