time,species,N,virulence
100,Susceptible annual,31549.218043076555,1e-20
100,Infected annual,13424.704854906195,1e-20
100,Annual,44973.922897982746,1e-20
100,Perennial first-year,0.01259507682982129,1e-20
100,Perennial adult,0.008284863629339695,1e-20
100,Litter,966.7928084355165,1e-20
100,Annual biomass,570.4077544097177,1e-20
100,Perennial first-year biomass,2.48764069119101e-6,1e-20
100,Perennial adult biomass,6.309772460958896e-4,1e-20
100,Annual susceptible biomass,96.92339283848395,1e-20
100,Perennial first-year susceptible biomass,8.007489091461056e-10,1e-20
100,Perennial adult susceptible biomass,1.989151545144798e-6,1e-20
100,Annual infected biomass,473.4843615712337,1e-20
100,Perennial first-year infected biomass,2.486839942281864e-6,1e-20
100,Perennial adult infected biomass,6.289880945507448e-4,1e-20
100,Conidia,0,1e-20
100,Susceptible annual,26459.330834973996,3.0303030303030303e-4
100,Infected annual,16259.780744128786,3.0303030303030303e-4
100,Annual,42719.111579102784,3.0303030303030303e-4
100,Perennial first-year,0.013067534154134778,3.0303030303030303e-4
100,Perennial adult,0.008598543601806126,3.0303030303030303e-4
100,Litter,956.9146960619757,3.0303030303030303e-4
100,Annual biomass,543.403974245561,3.0303030303030303e-4
100,Perennial first-year biomass,2.6372663069605566e-6,3.0303030303030303e-4
100,Perennial adult biomass,6.548671897373495e-4,3.0303030303030303e-4
100,Annual susceptible biomass,13.205940718301008,3.0303030303030303e-4
100,Perennial first-year susceptible biomass,1.8086693570486636e-10,3.0303030303030303e-4
100,Perennial adult susceptible biomass,4.189602222420732e-7,3.0303030303030303e-4
100,Annual infected biomass,530.19803352726,3.0303030303030303e-4
100,Perennial first-year infected biomass,2.6370854400248518e-6,3.0303030303030303e-4
100,Perennial adult infected biomass,6.544482295151074e-4,3.0303030303030303e-4
100,Conidia,128317.82389325576,3.0303030303030303e-4
100,Susceptible annual,25260.57482553848,6.060606060606061e-4
100,Infected annual,15951.207405637428,6.060606060606061e-4
100,Annual,41211.78223117591,6.060606060606061e-4
100,Perennial first-year,0.012983996692119665,6.060606060606061e-4
100,Perennial adult,0.00854274756377618,6.060606060606061e-4
100,Litter,959.1128994922757,6.060606060606061e-4
100,Annual biomass,524.3506800763383,6.060606060606061e-4
100,Perennial first-year biomass,2.6434234930220012e-06,6.060606060606061e-4
100,Perennial adult biomass,6.50617749795505e-4,6.060606060606061e-4
100,Annual susceptible biomass,7.091402833090569,6.060606060606061e-4
100,Perennial first-year susceptible biomass,1.0967363600998531e-10,6.060606060606061e-4
100,Perennial adult susceptible biomass,2.395513173545846e-7,6.060606060606061e-4
100,Annual infected biomass,517.2592772432478,6.060606060606061e-4
100,Perennial first-year infected biomass,2.6433138193859912e-6,6.060606060606061e-4
100,Perennial adult infected biomass,6.503781984781504e-4,6.060606060606061e-4
100,Conidia,251644.22933304164,6.060606060606061e-4
100,Susceptible annual,24275.776401718857,9.090909090909091e-4
100,Infected annual,15480.093341627693,9.090909090909091e-4
100,Annual,39755.86974334655,9.090909090909091e-4
100,Perennial first-year,0.01296209525238058,9.090909090909091e-4
100,Perennial adult,0.008527969433441668,9.090909090909091e-4
100,Litter,959.8922688131504,9.090909090909091e-4
100,Annual biomass,505.8684758213153,9.090909090909091e-4
100,Perennial first-year biomass,2.6616757527950675e-6,9.090909090909091e-4
100,Perennial adult biomass,6.494922437645213e-4,9.090909090909091e-4
100,Annual susceptible biomass,4.880046743225705,9.090909090909091e-4
100,Perennial first-year susceptible biomass,8.318923564934257e-11,9.090909090909091e-4
100,Perennial adult susceptible biomass,1.7155163495546997e-7,9.090909090909091e-4
100,Annual infected biomass,500.9884290780896,9.090909090909091e-4
100,Perennial first-year infected biomass,2.661592563559418e-6,9.090909090909091e-4
100,Perennial adult infected biomass,6.493206921295658e-4,9.090909090909091e-4
100,Conidia,366438.01223550225,9.090909090909091e-4
100,Susceptible annual,23355.47971201246,0.0012121212121212121
100,Infected annual,14968.448096321416,0.0012121212121212121
100,Annual,38323.92780833387,0.0012121212121212121
100,Perennial first-year,0.013026430059874378,0.0012121212121212121
100,Perennial adult,0.00857055075944923,0.0012121212121212121
100,Litter,958.7207988401799,0.0012121212121212121
100,Annual biomass,487.6690371850462,0.0012121212121212121
100,Perennial first-year biomass,2.698816155274196e-6,0.0012121212121212121
100,Perennial adult biomass,6.527352479974607e-4,0.0012121212121212121
100,Annual susceptible biomass,3.731270478401086,0.0012121212121212121
100,Perennial first-year susceptible biomass,7.005694432613401e-11,0.0012121212121212121
100,Perennial adult susceptible biomass,1.3673223658817665e-7,0.0012121212121212121
100,Annual infected biomass,483.9377667066451,0.0012121212121212121
100,Perennial first-year infected biomass,2.69874609832987e-6,0.0012121212121212121
100,Perennial adult infected biomass,6.525985157608725e-4,0.0012121212121212121
100,Conidia,472545.72676343645,0.0012121212121212121
100,Susceptible annual,22467.243152834842,0.0015151515151515152
100,Infected annual,14443.516505224303,0.0015151515151515152
100,Annual,36910.75965805915,0.0015151515151515152
100,Perennial first-year,0.013180831310250466,0.0015151515151515152
100,Perennial adult,0.008673040384991488,0.0015151515151515152
100,Litter,955.5546406177648,0.0015151515151515152
100,Annual biomass,469.6986937321044,0.0015151515151515152
100,Perennial first-year biomass,2.756419564238739e-6,0.0015151515151515152
100,Perennial adult biomass,6.605408830170993e-4,0.0015151515151515152
100,Annual susceptible biomass,3.0216647554328233,0.0015151515151515152
100,Perennial first-year susceptible biomass,6.092487314224017e-11,0.0015151515151515152
100,Perennial adult susceptible biomass,1.1624113284923986e-7,0.0015151515151515152
100,Annual infected biomass,466.6770289766716,0.0015151515151515152
100,Perennial first-year infected biomass,2.7563586393655968e-6,0.0015151515151515152
100,Perennial adult infected biomass,6.6042464188425e-4,0.0015151515151515152
100,Conidia,570130.7347277635,0.0015151515151515152
100,Susceptible annual,21600.180908423874,0.0018181818181818182
100,Infected annual,13914.97176268032,0.0018181818181818182
100,Annual,35515.152671104195,0.0018181818181818182
100,Perennial first-year,0.013426999530842544,0.0018181818181818182
100,Perennial adult,0.008836586397910493,0.0018181818181818182
100,Litter,950.4410634951721,0.0018181818181818182
100,Annual biomass,451.94737393345196,0.0018181818181818182
100,Perennial first-year biomass,2.835504822422609e-6,0.0018181818181818182
100,Perennial adult biomass,6.729965874750744e-4,0.0018181818181818182
100,Annual susceptible biomass,2.5356612924013007,0.0018181818181818182
100,Perennial first-year susceptible biomass,5.889619226184852e-11,0.0018181818181818182
100,Perennial adult susceptible biomass,1.0333228984461557e-7,0.0018181818181818182
100,Annual infected biomass,449.41171264105066,0.0018181818181818182
100,Perennial first-year infected biomass,2.835445926230347e-6,0.0018181818181818182
100,Perennial adult infected biomass,6.728932551852298e-4,0.0018181818181818182
100,Conidia,659428.8722988035,0.0018181818181818182
100,Susceptible annual,20749.82307284209,0.002121212121212121
100,Infected annual,13387.241463837017,0.002121212121212121
100,Annual,34137.06453667911,0.002121212121212121
100,Perennial first-year,0.013767446131648752,0.002121212121212121
100,Perennial adult,0.009062890632045446,0.002121212121212121
100,Litter,943.4532926039944,0.002121212121212121
100,Annual biomass,434.4157756871892,0.002121212121212121
100,Perennial first-year biomass,2.937284180617219e-6,0.002121212121212121
100,Perennial adult biomass,6.902319734539674e-4,0.002121212121212121
100,Annual susceptible biomass,2.179003953003132,0.002121212121212121
100,Perennial first-year susceptible biomass,5.330445852796988e-11,0.002121212121212121
100,Perennial adult susceptible biomass,9.485853750895116e-8,0.002121212121212121
100,Annual infected biomass,432.23677173418605,0.002121212121212121
100,Perennial first-year infected biomass,2.937230876158691e-6,0.002121212121212121
100,Perennial adult infected biomass,6.901371149164585e-4,0.002121212121212121
100,Conidia,740693.8940818075,0.002121212121212121
