time,species,N,virulence,transmission
1,Susceptible annual,3196.8067516974156,1e-20,0.038
2,Susceptible annual,2655.62386033113,1e-20,0.038
3,Susceptible annual,2055.760788045535,1e-20,0.038
4,Susceptible annual,1896.5607115380865,1e-20,0.038
5,Susceptible annual,1875.0478172596333,1e-20,0.038
6,Susceptible annual,1874.194765280287,1e-20,0.038
7,Susceptible annual,1874.7160936070945,1e-20,0.038
8,Susceptible annual,1874.8953903769723,1e-20,0.038
9,Susceptible annual,1874.9216618620978,1e-20,0.038
10,Susceptible annual,1874.9154255525214,1e-20,0.038
11,Susceptible annual,1874.9057704416641,1e-20,0.038
12,Susceptible annual,1874.8968913273486,1e-20,0.038
13,Susceptible annual,1874.8889147411103,1e-20,0.038
14,Susceptible annual,1874.881675518612,1e-20,0.038
15,Susceptible annual,1874.8750761422248,1e-20,0.038
16,Susceptible annual,1874.8690539912043,1e-20,0.038
17,Susceptible annual,1874.8635578518022,1e-20,0.038
18,Susceptible annual,1874.8585417859113,1e-20,0.038
19,Susceptible annual,1874.853963888745,1e-20,0.038
20,Susceptible annual,1874.8497858926119,1e-20,0.038
21,Susceptible annual,1874.8459728650616,1e-20,0.038
22,Susceptible annual,1874.8424929238543,1e-20,0.038
23,Susceptible annual,1874.8393169718192,1e-20,0.038
24,Susceptible annual,1874.8364184536847,1e-20,0.038
25,Susceptible annual,1874.8337731340223,1e-20,0.038
26,Susceptible annual,1874.831358894544,1e-20,0.038
27,Susceptible annual,1874.8291555491637,1e-20,0.038
28,Susceptible annual,1874.8271446752137,1e-20,0.038
29,Susceptible annual,1874.82530945935,1e-20,0.038
30,Susceptible annual,1874.8236345569826,1e-20,0.038
31,Susceptible annual,1874.8221059639861,1e-20,0.038
32,Susceptible annual,1874.8207108995637,1e-20,0.038
33,Susceptible annual,1874.8194376994056,1e-20,0.038
34,Susceptible annual,1874.8182757181285,1e-20,0.038
35,Susceptible annual,1874.8172152402929,1e-20,0.038
36,Susceptible annual,1874.816247399147,1e-20,0.038
37,Susceptible annual,1874.8153641024887,1e-20,0.038
38,Susceptible annual,1874.8145579650266,1e-20,0.038
39,Susceptible annual,1874.813822246592,1e-20,0.038
40,Susceptible annual,1874.8131507958155,1e-20,0.038
41,Susceptible annual,1874.8125379986523,1e-20,0.038
42,Susceptible annual,1874.8119787315018,1e-20,0.038
43,Susceptible annual,1874.8114683183085,1e-20,0.038
44,Susceptible annual,1874.811002491497,1e-20,0.038
45,Susceptible annual,1874.8105773562852,1e-20,0.038
46,Susceptible annual,1874.8101893581124,1e-20,0.038
47,Susceptible annual,1874.8098352529146,1e-20,0.038
48,Susceptible annual,1874.8095120800301,1e-20,0.038
49,Susceptible annual,1874.8092171374049,1e-20,0.038
50,Susceptible annual,1874.8089479590358,1e-20,0.038
51,Susceptible annual,1874.808702294303,1e-20,0.038
52,Susceptible annual,1874.8084780892289,1e-20,0.038
53,Susceptible annual,1874.80827346922,1e-20,0.038
54,Susceptible annual,1874.8080867234698,1e-20,0.038
55,Susceptible annual,1874.8079162905933,1e-20,0.038
56,Susceptible annual,1874.8077607456007,1e-20,0.038
57,Susceptible annual,1874.8076187879856,1e-20,0.038
58,Susceptible annual,1874.8074892308493,1e-20,0.038
59,Susceptible annual,1874.8073709909609,1e-20,0.038
60,Susceptible annual,1874.8072630797221,1e-20,0.038
61,Susceptible annual,1874.8071645948942,1e-20,0.038
62,Susceptible annual,1874.8070747130455,1e-20,0.038
63,Susceptible annual,1874.8069926826768,1e-20,0.038
64,Susceptible annual,1874.80691781793,1e-20,0.038
65,Susceptible annual,1874.8068494928698,1e-20,0.038
66,Susceptible annual,1874.806787136232,1e-20,0.038
67,Susceptible annual,1874.8067302266575,1e-20,0.038
68,Susceptible annual,1874.806678288316,1e-20,0.038
69,Susceptible annual,1874.8066308869659,1e-20,0.038
70,Susceptible annual,1874.8065876262854,1e-20,0.038
71,Susceptible annual,1874.8065481445662,1e-20,0.038
72,Susceptible annual,1874.806512111701,1e-20,0.038
73,Susceptible annual,1874.8064792264317,1e-20,0.038
74,Susceptible annual,1874.806449213802,1e-20,0.038
75,Susceptible annual,1874.806421822871,1e-20,0.038
76,Susceptible annual,1874.8063968246279,1e-20,0.038
77,Susceptible annual,1874.8063740100652,1e-20,0.038
78,Susceptible annual,1874.8063531884359,1e-20,0.038
79,Susceptible annual,1874.80633418564,1e-20,0.038
80,Susceptible annual,1874.8063168428014,1e-20,0.038
81,Susceptible annual,1874.8063010149128,1e-20,0.038
82,Susceptible annual,1874.8062865696475,1e-20,0.038
83,Susceptible annual,1874.8062733862232,1e-20,0.038
84,Susceptible annual,1874.806261354415,1e-20,0.038
85,Susceptible annual,1874.8062503736228,1e-20,0.038
86,Susceptible annual,1874.8062403520457,1e-20,0.038
87,Susceptible annual,1874.8062312058803,1e-20,0.038
88,Susceptible annual,1874.8062228586678,1e-20,0.038
89,Susceptible annual,1874.8062152406087,1e-20,0.038
90,Susceptible annual,1874.8062082880115,1e-20,0.038
91,Susceptible annual,1874.8062019427423,1e-20,0.038
92,Susceptible annual,1874.8061961517587,1e-20,0.038
93,Susceptible annual,1874.8061908666382,1e-20,0.038
94,Susceptible annual,1874.8061860431867,1e-20,0.038
