time,species,N
1,Annual,10
2,Annual,5456.072842479463
3,Annual,55663.52047955578
4,Annual,58162.70114115234
5,Annual,58204.946378156856
6,Annual,58187.20659203781
7,Annual,58178.98985739352
8,Annual,58175.72531220442
9,Annual,58174.44488835837
10,Annual,58173.94319345021
11,Annual,58173.746622957224
12,Annual,58173.66960176397
13,Annual,58173.63942247998
14,Annual,58173.627597227896
15,Annual,58173.62296368699
16,Annual,58173.62114810426
17,Annual,58173.62043669572
18,Annual,58173.62015794059
19,Annual,58173.62004871462
20,Annual,58173.62000591608
21,Annual,58173.619989146086
22,Annual,58173.61998257491
23,Annual,58173.619980000236
24,Annual,58173.61997899136
25,Annual,58173.61997859597
26,Annual,58173.61997844111
27,Annual,58173.619978380375
28,Annual,58173.61997835659
29,Annual,58173.61997834731
30,Annual,58173.619978343595
31,Annual,58173.619978342234
32,Annual,58173.61997834168
33,Annual,58173.61997834141
34,Annual,58173.61997834136
35,Annual,58173.61997834125
36,Annual,58173.61997834125
37,Annual,58173.6199783412
38,Annual,58173.6199783412
39,Annual,58173.61997834125
40,Annual,58173.61997834125
41,Annual,58173.61997834125
42,Annual,58173.61997834125
43,Annual,58173.61997834125
44,Annual,58173.61997834125
45,Annual,58173.61997834125
46,Annual,58173.61997834125
47,Annual,58173.61997834125
48,Annual,58173.61997834125
49,Annual,58173.61997834125
50,Annual,58173.61997834125
51,Annual,58173.61997834125
52,Annual,58173.61997834125
53,Annual,58173.61997834125
54,Annual,58173.61997834125
55,Annual,58173.61997834125
56,Annual,58173.61997834125
57,Annual,58173.61997834125
58,Annual,58173.61997834125
59,Annual,58173.61997834125
60,Annual,58173.61997834125
61,Annual,58173.61997834125
62,Annual,58173.61997834125
63,Annual,58173.61997834125
64,Annual,58173.61997834125
65,Annual,58173.61997834125
66,Annual,58173.61997834125
67,Annual,58173.61997834125
68,Annual,58173.61997834125
69,Annual,58173.61997834125
70,Annual,58173.61997834125
71,Annual,58173.61997834125
72,Annual,58173.61997834125
73,Annual,58173.61997834125
74,Annual,58173.61997834125
75,Annual,58173.61997834125
76,Annual,58173.61997834125
77,Annual,58173.61997834125
78,Annual,58173.61997834125
79,Annual,58173.61997834125
80,Annual,58173.61997834125
81,Annual,58173.61997834125
82,Annual,58173.61997834125
83,Annual,58173.61997834125
84,Annual,58173.61997834125
85,Annual,58173.61997834125
86,Annual,58173.61997834125
87,Annual,58173.61997834125
88,Annual,58173.61997834125
89,Annual,58173.61997834125
90,Annual,58173.61997834125
91,Annual,58173.61997834125
92,Annual,58173.61997834125
93,Annual,58173.61997834125
94,Annual,58173.61997834125
95,Annual,58173.61997834125
96,Annual,58173.61997834125
97,Annual,58173.61997834125
98,Annual,58173.61997834125
99,Annual,58173.61997834125
100,Annual,58173.61997834125
1,Perennial first-year,0
