time,species,N
1,Annual,0
2,Annual,0
3,Annual,0
4,Annual,0
5,Annual,0
6,Annual,0
7,Annual,0
8,Annual,0
9,Annual,0
10,Annual,0
11,Annual,0
12,Annual,0
13,Annual,0
14,Annual,0
15,Annual,0
16,Annual,0
17,Annual,0
18,Annual,0
19,Annual,0
20,Annual,0
21,Annual,0
22,Annual,0
23,Annual,0
24,Annual,0
25,Annual,0
26,Annual,0
27,Annual,0
28,Annual,0
29,Annual,0
30,Annual,0
31,Annual,0
32,Annual,0
33,Annual,0
34,Annual,0
35,Annual,0
36,Annual,0
37,Annual,0
38,Annual,0
39,Annual,0
40,Annual,0
41,Annual,0
42,Annual,0
43,Annual,0
44,Annual,0
45,Annual,0
46,Annual,0
47,Annual,0
48,Annual,0
49,Annual,0
50,Annual,0
51,Annual,0
52,Annual,0
53,Annual,0
54,Annual,0
55,Annual,0
56,Annual,0
57,Annual,0
58,Annual,0
59,Annual,0
60,Annual,0
61,Annual,0
62,Annual,0
63,Annual,0
64,Annual,0
65,Annual,0
66,Annual,0
67,Annual,0
68,Annual,0
69,Annual,0
70,Annual,0
71,Annual,0
72,Annual,0
73,Annual,0
74,Annual,0
75,Annual,0
76,Annual,0
77,Annual,0
78,Annual,0
79,Annual,0
80,Annual,0
81,Annual,0
82,Annual,0
83,Annual,0
84,Annual,0
85,Annual,0
86,Annual,0
87,Annual,0
88,Annual,0
89,Annual,0
90,Annual,0
91,Annual,0
92,Annual,0
93,Annual,0
94,Annual,0
95,Annual,0
96,Annual,0
97,Annual,0
98,Annual,0
99,Annual,0
100,Annual,0
1,Perennial first-year,10
2,Perennial first-year,17.179845761517704
3,Perennial first-year,1257.6117787054118
4,Perennial first-year,2299.168601805045
5,Perennial first-year,2377.1343436760803
6,Perennial first-year,2380.6175137543282
7,Perennial first-year,2380.3672176055725
8,Perennial first-year,2380.1674764640256
9,Perennial first-year,2380.0807169959617
10,Perennial first-year,2380.0452226337857
11,Perennial first-year,2380.0308238573025
12,Perennial first-year,2380.024990197875
13,Perennial first-year,2380.022627166872
14,Perennial first-year,2380.0216700117153
15,Perennial first-year,2380.0212823151824
16,Perennial first-year,2380.0211252786858
17,Perennial first-year,2380.021061671099
18,Perennial first-year,2380.0210359068656
19,Perennial first-year,2380.021025471079
20,Perennial first-year,2380.0210212440716
21,Perennial first-year,2380.021019531917
22,Perennial first-year,2380.0210188384167
23,Perennial first-year,2380.02101855751
24,Perennial first-year,2380.0210184437333
25,Perennial first-year,2380.0210183976424
26,Perennial first-year,2380.021018378984
27,Perennial first-year,2380.0210183714194
28,Perennial first-year,2380.0210183683557
29,Perennial first-year,2380.0210183671215
30,Perennial first-year,2380.021018366612
31,Perennial first-year,2380.0210183664117
32,Perennial first-year,2380.021018366328
33,Perennial first-year,2380.0210183662916
34,Perennial first-year,2380.0210183662816
35,Perennial first-year,2380.0210183662775
36,Perennial first-year,2380.0210183662734
37,Perennial first-year,2380.021018366274
38,Perennial first-year,2380.0210183662716
39,Perennial first-year,2380.0210183662734
40,Perennial first-year,2380.021018366274
41,Perennial first-year,2380.0210183662734
42,Perennial first-year,2380.021018366272
43,Perennial first-year,2380.0210183662703
44,Perennial first-year,2380.02101836627
45,Perennial first-year,2380.0210183662703
46,Perennial first-year,2380.0210183662716
47,Perennial first-year,2380.0210183662675
48,Perennial first-year,2380.02101836627
49,Perennial first-year,2380.0210183662675
50,Perennial first-year,2380.0210183662716
51,Perennial first-year,2380.021018366274
