time,species,N
1,Annual,0
2,Annual,0
3,Annual,0
4,Annual,0
5,Annual,0
6,Annual,0
7,Annual,0
8,Annual,0
9,Annual,0
10,Annual,0
11,Annual,0
12,Annual,0
13,Annual,0
14,Annual,0
15,Annual,0
16,Annual,0
17,Annual,0
18,Annual,0
19,Annual,0
20,Annual,0
21,Annual,0
22,Annual,0
23,Annual,0
24,Annual,0
25,Annual,0
26,Annual,0
27,Annual,0
28,Annual,0
29,Annual,0
30,Annual,0
31,Annual,0
32,Annual,0
33,Annual,0
34,Annual,0
35,Annual,0
36,Annual,0
37,Annual,0
38,Annual,0
39,Annual,0
40,Annual,0
41,Annual,0
42,Annual,0
43,Annual,0
44,Annual,0
45,Annual,0
46,Annual,0
47,Annual,0
48,Annual,0
49,Annual,0
50,Annual,0
51,Annual,0
52,Annual,0
53,Annual,0
54,Annual,0
55,Annual,0
56,Annual,0
57,Annual,0
58,Annual,0
59,Annual,0
60,Annual,0
61,Annual,0
62,Annual,0
63,Annual,0
64,Annual,0
65,Annual,0
66,Annual,0
67,Annual,0
68,Annual,0
69,Annual,0
70,Annual,0
71,Annual,0
72,Annual,0
73,Annual,0
74,Annual,0
75,Annual,0
76,Annual,0
77,Annual,0
78,Annual,0
79,Annual,0
80,Annual,0
81,Annual,0
82,Annual,0
83,Annual,0
84,Annual,0
85,Annual,0
86,Annual,0
87,Annual,0
88,Annual,0
89,Annual,0
90,Annual,0
91,Annual,0
92,Annual,0
93,Annual,0
94,Annual,0
95,Annual,0
96,Annual,0
97,Annual,0
98,Annual,0
99,Annual,0
100,Annual,0
1,Perennial first-year,0
2,Perennial first-year,190.9356398241323
3,Perennial first-year,4347.825768716845
4,Perennial first-year,13817.890968130787
5,Perennial first-year,15023.579175578692
6,Perennial first-year,15043.85941395219
7,Perennial first-year,15017.189053467206
8,Perennial first-year,15004.222768928263
9,Perennial first-year,14999.006538867598
10,Perennial first-year,14996.978933106373
11,Perennial first-year,14996.196577043762
12,Perennial first-year,14995.895224578202
13,Perennial first-year,14995.77919876977
14,Perennial first-year,14995.734532318369
15,Perennial first-year,14995.717337717253
16,Perennial first-year,14995.710718640745
17,Perennial first-year,14995.708170632586
18,Perennial first-year,14995.70718978047
19,Perennial first-year,14995.706812203087
20,Perennial first-year,14995.706666855307
21,Perennial first-year,14995.706610903942
22,Perennial first-year,14995.70658936555
23,Perennial first-year,14995.706581074368
24,Perennial first-year,14995.706577882678
25,Perennial first-year,14995.706576654065
26,Perennial first-year,14995.706576181134
27,Perennial first-year,14995.70657599907
28,Perennial first-year,14995.706575929002
29,Perennial first-year,14995.706575901984
30,Perennial first-year,14995.706575891607
31,Perennial first-year,14995.706575887645
32,Perennial first-year,14995.70657588605
33,Perennial first-year,14995.70657588547
34,Perennial first-year,14995.706575885264
35,Perennial first-year,14995.706575885164
36,Perennial first-year,14995.706575885102
37,Perennial first-year,14995.706575885122
38,Perennial first-year,14995.706575885126
39,Perennial first-year,14995.706575885104
40,Perennial first-year,14995.706575885113
41,Perennial first-year,14995.706575885113
42,Perennial first-year,14995.706575885113
43,Perennial first-year,14995.706575885113
44,Perennial first-year,14995.706575885113
45,Perennial first-year,14995.706575885113
46,Perennial first-year,14995.706575885113
47,Perennial first-year,14995.706575885113
48,Perennial first-year,14995.706575885113
49,Perennial first-year,14995.706575885113
50,Perennial first-year,14995.706575885113
51,Perennial first-year,14995.706575885113
52,Perennial first-year,14995.706575885113
53,Perennial first-year,14995.706575885113
