time,species,N
1,Annual,44987.520550040725
2,Annual,44987.316497977496
3,Annual,44986.10725183547
4,Annual,44979.00333089208
5,Annual,41108.46207992907
6,Annual,40973.63081001291
7,Annual,41003.74565576016
8,Annual,41024.90350191187
9,Annual,41034.58920943072
10,Annual,41038.37657423354
11,Annual,41039.67054505143
12,Annual,41040.03890358928
13,Annual,41040.10651386758
14,Annual,41040.09551015529
15,Annual,41040.07420729383
16,Annual,41040.05853066036
17,Annual,41040.04937131634
18,Annual,41040.04459352059
19,Annual,41040.042273327934
20,Annual,41040.0412035137
21,Annual,41040.040730129775
22,Annual,41040.04052786067
23,Annual,41040.04044410246
24,Annual,41040.04041042544
25,Annual,41040.040397269266
26,Annual,41040.04039227868
27,Annual,41040.04039044381
28,Annual,41040.04038979202
29,Annual,41040.04038957015
30,Annual,41040.04038949814
31,Annual,41040.04038947623
32,Annual,41040.04038947039
33,Annual,41040.04038946909
34,Annual,41040.04038946897
35,Annual,41040.04038946889
36,Annual,41040.040389469104
37,Annual,41040.040389469046
38,Annual,41040.040389468966
39,Annual,41040.040389469
40,Annual,41040.040389468966
41,Annual,41040.04038946924
42,Annual,41040.04038946911
43,Annual,41040.040389469075
44,Annual,41040.04038946911
45,Annual,41040.04038946901
46,Annual,41040.04038946918
47,Annual,41040.040389469184
48,Annual,41040.040389469046
49,Annual,41040.04038946907
50,Annual,41040.040389469075
51,Annual,41040.04038946915
52,Annual,41040.04038946901
53,Annual,41040.040389469104
54,Annual,41040.040389469184
55,Annual,41040.04038946894
56,Annual,41040.04038946904
57,Annual,41040.040389469
58,Annual,41040.04038946889
59,Annual,41040.04038946907
60,Annual,41040.040389469075
61,Annual,41040.040389469075
62,Annual,41040.04038946922
63,Annual,41040.040389469075
64,Annual,41040.040389469075
65,Annual,41040.040389469075
66,Annual,41040.040389469075
67,Annual,41040.040389469075
68,Annual,41040.040389469046
69,Annual,41040.04038946914
70,Annual,41040.04038946894
71,Annual,41040.04038946889
72,Annual,41040.04038946904
73,Annual,41040.04038946907
74,Annual,41040.04038946915
75,Annual,41040.040389469046
76,Annual,41040.04038946904
77,Annual,41040.040389469104
78,Annual,41040.040389469075
79,Annual,41040.04038946915
80,Annual,41040.04038946911
81,Annual,41040.04038946925
82,Annual,41040.04038946905
83,Annual,41040.04038946922
84,Annual,41040.04038946911
85,Annual,41040.040389469075
86,Annual,41040.040389469184
87,Annual,41040.040389469046
88,Annual,41040.04038946911
89,Annual,41040.040389469075
90,Annual,41040.04038946915
91,Annual,41040.04038946911
92,Annual,41040.040389469075
93,Annual,41040.04038946901
94,Annual,41040.040389469104
95,Annual,41040.04038946915
96,Annual,41040.04038946901
97,Annual,41040.04038946921
98,Annual,41040.04038946897
99,Annual,41040.040389469104
100,Annual,41040.04038946901
1,Perennial first-year,14325.761300285702
2,Perennial first-year,14325.552164984734
3,Perennial first-year,14324.269922921003
4,Perennial first-year,14317.032922135953
5,Perennial first-year,5534.45730392032
6,Perennial first-year,3245.132271086689
7,Perennial first-year,2597.2629144081275
8,Perennial first-year,2402.4862767623877
9,Perennial first-year,2345.0886751241796
10,Perennial first-year,2330.177094606052
11,Perennial first-year,2327.515111186004
12,Perennial first-year,2327.7752961729993
13,Perennial first-year,2328.3890578854443
14,Perennial first-year,2328.8211372504284
15,Perennial first-year,2329.05834841565
16,Perennial first-year,2329.1737686455353
17,Perennial first-year,2329.225724922734
18,Perennial first-year,2329.247763644541
19,Perennial first-year,2329.2566426038575
20,Perennial first-year,2329.2600459539567
21,Perennial first-year,2329.2612825047177
22,Perennial first-year,2329.261703761385
