Parameter,Treatment,Estimate
g_A,fungicide,0.7794264932635581
g_A,control,0.7614408239721909
g_P,fungicide,0.1775777157626572
g_P,control,0.22366244574896152
c_A,fungicide,68.96720146182435
c_A,control,76.91213399302326
c_F,fungicide,7.783644027003126
c_F,control,8.467687590409884
c_P,fungicide,20.719443611020438
c_P,control,18.99489904932838
e_A,fungicide,0.9992236415151913
e_A,control,0.9887806779682138
e_P,fungicide,0.9936085538668656
e_P,control,0.9439475821551236
l_P,fungicide,0.9629224455141935
l_P,control,0.9453855093428963
n_P,fungicide,0.41794695666338205
n_P,control,0.4103352230952859
b_A,NA,0.031
b_F,NA,0.004
b_P,NA,0.031
gamma_A,NA,0.001184393821520858
gamma_P,NA,5.029738597082376e-4
h,NA,5500
d,NA,0.59
s_P,NA,0.05
s_A,NA,0.15
dis_thresh,NA,0.15
