time,treatment,Perennial_biomass
1,fungicide,2.154967161505125
2,fungicide,62.75395858918679
3,fungicide,565.1221507596564
4,fungicide,717.8296302114172
5,fungicide,721.5611672007861
6,fungicide,720.4591217188896
7,fungicide,719.7820620536959
8,fungicide,719.501740809484
9,fungicide,719.3920122176635
10,fungicide,719.3495995876705
11,fungicide,719.3332547005521
12,fungicide,719.3269606658621
13,fungicide,719.3245375249438
14,fungicide,719.3236047059446
15,fungicide,719.3232456140183
16,fungicide,719.3231073815145
17,fungicide,719.3230541690577
18,fungicide,719.323033685004
19,fungicide,719.3230257997011
20,fungicide,719.3230227642667
21,fungicide,719.3230215957824
22,fungicide,719.3230211459767
23,fungicide,719.3230209728224
24,fungicide,719.3230209061686
25,fungicide,719.3230208805094
26,fungicide,719.3230208706323
27,fungicide,719.3230208668326
28,fungicide,719.3230208653675
29,fungicide,719.3230208648056
30,fungicide,719.3230208645883
31,fungicide,719.3230208645034
32,fungicide,719.3230208644718
33,fungicide,719.3230208644587
34,fungicide,719.3230208644528
35,fungicide,719.3230208644534
36,fungicide,719.3230208644522
37,fungicide,719.3230208644508
38,fungicide,719.3230208644525
39,fungicide,719.3230208644525
40,fungicide,719.3230208644525
41,fungicide,719.3230208644525
42,fungicide,719.3230208644524
43,fungicide,719.3230208644524
44,fungicide,719.3230208644524
45,fungicide,719.3230208644524
46,fungicide,719.3230208644524
47,fungicide,719.3230208644524
48,fungicide,719.3230208644524
49,fungicide,719.3230208644524
50,fungicide,719.3230208644524
51,fungicide,719.3230208644524
52,fungicide,719.3230208644524
53,fungicide,719.3230208644524
54,fungicide,719.3230208644524
55,fungicide,719.3230208644524
56,fungicide,719.3230208644524
57,fungicide,719.3230208644524
58,fungicide,719.3230208644524
59,fungicide,719.3230208644524
60,fungicide,719.3230208644524
61,fungicide,719.3230208644524
62,fungicide,719.3230208644524
63,fungicide,719.3230208644524
64,fungicide,719.3230208644524
65,fungicide,719.3230208644524
66,fungicide,719.3230208644524
67,fungicide,719.3230208644524
68,fungicide,719.3230208644524
69,fungicide,719.3230208644524
70,fungicide,719.3230208644524
71,fungicide,719.3230208644524
72,fungicide,719.3230208644524
73,fungicide,719.3230208644524
74,fungicide,719.3230208644524
75,fungicide,719.3230208644524
76,fungicide,719.3230208644524
77,fungicide,719.3230208644524
78,fungicide,719.3230208644524
79,fungicide,719.3230208644524
80,fungicide,719.3230208644524
81,fungicide,719.3230208644524
82,fungicide,719.3230208644524
83,fungicide,719.3230208644524
84,fungicide,719.3230208644524
85,fungicide,719.3230208644524
86,fungicide,719.3230208644524
87,fungicide,719.3230208644524
88,fungicide,719.3230208644524
89,fungicide,719.3230208644524
90,fungicide,719.3230208644524
91,fungicide,719.3230208644524
92,fungicide,719.3230208644524
93,fungicide,719.3230208644524
94,fungicide,719.3230208644524
95,fungicide,719.3230208644524
96,fungicide,719.3230208644524
97,fungicide,719.3230208644524
98,fungicide,719.3230208644524
99,fungicide,719.3230208644524
100,fungicide,719.3230208644524
101,fungicide,719.3230208644524
102,fungicide,719.3230208644524
103,fungicide,719.3230208644524
104,fungicide,719.3230208644524
105,fungicide,719.3230208644524
106,fungicide,719.3230208644524
107,fungicide,719.3230208644524
108,fungicide,719.3230208644524
109,fungicide,719.3230208644524
110,fungicide,719.3230208644524
111,fungicide,719.3230208644524
112,fungicide,719.3230208644524
113,fungicide,719.3230208644524
114,fungicide,719.3230208644524
115,fungicide,719.3230208644524
116,fungicide,719.3230208644524
117,fungicide,719.3230208644524
118,fungicide,719.3230208644524
119,fungicide,719.3230208644524
120,fungicide,719.3230208644524
121,fungicide,719.3230208644524
122,fungicide,719.3230208644524
123,fungicide,719.3230208644524
124,fungicide,719.3230208644524
125,fungicide,719.3230208644524
126,fungicide,719.3230208644524
127,fungicide,719.3230208644524
128,fungicide,719.3230208644524
129,fungicide,719.3230208644524
130,fungicide,719.3230208644524
131,fungicide,719.3230208644524
132,fungicide,719.3230208644524
133,fungicide,719.3230208644524
134,fungicide,719.3230208644524
135,fungicide,719.3230208644524
136,fungicide,719.3230208644524
137,fungicide,719.3230208644524
138,fungicide,719.3230208644524
139,fungicide,719.3230208644524
140,fungicide,719.3230208644524
141,fungicide,719.3230208644524
142,fungicide,719.3230208644524
143,fungicide,719.3230208644524
144,fungicide,719.3230208644524
145,fungicide,719.3230208644524
146,fungicide,719.3230208644524
147,fungicide,719.3230208644524
148,fungicide,719.3230208644524
149,fungicide,719.3230208644524
150,fungicide,719.3230208644524
151,fungicide,719.3230208644524
152,fungicide,719.3230208644524
153,fungicide,719.3230208644524
154,fungicide,719.3230208644524
155,fungicide,719.3230208644524
156,fungicide,719.3230208644524
157,fungicide,719.3230208644524
158,fungicide,719.3230208644524
159,fungicide,719.3230208644524
160,fungicide,719.3230208644524
161,fungicide,719.3230208644524
162,fungicide,719.3230208644524
163,fungicide,719.3230208644524
164,fungicide,719.3230208644524
165,fungicide,719.3230208644524
166,fungicide,719.3230208644524
167,fungicide,719.3230208644524
168,fungicide,719.3230208644524
169,fungicide,719.3230208644524
170,fungicide,719.3230208644524
171,fungicide,719.3230208644524
172,fungicide,719.3230208644524
173,fungicide,719.3230208644524
174,fungicide,719.3230208644524
175,fungicide,719.3230208644524
176,fungicide,719.3230208644524
177,fungicide,719.3230208644524
178,fungicide,719.3230208644524
179,fungicide,719.3230208644524
180,fungicide,719.3230208644524
181,fungicide,719.3230208644524
182,fungicide,719.3230208644524
183,fungicide,719.3230208644524
184,fungicide,719.3230208644524
185,fungicide,719.3230208644524
186,fungicide,719.3230208644524
187,fungicide,719.3230208644524
188,fungicide,719.3230208644524
189,fungicide,719.3230208644524
