time,treatment,species,N,Species,RelN
-10,fungicide,Annual_biomass,0,invader,0
-10,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-9,fungicide,Annual_biomass,0,invader,0
-9,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-8,fungicide,Annual_biomass,0,invader,0
-8,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-7,fungicide,Annual_biomass,0,invader,0
-7,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-6,fungicide,Annual_biomass,0,invader,0
-6,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-5,fungicide,Annual_biomass,0,invader,0
-5,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-4,fungicide,Annual_biomass,0,invader,0
-4,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-3,fungicide,Annual_biomass,0,invader,0
-3,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-2,fungicide,Annual_biomass,0,invader,0
-2,fungicide,Perennial_biomass,719.3230208644524,competitor,1
-1,fungicide,Annual_biomass,0,invader,0
-1,fungicide,Perennial_biomass,719.3230208644524,competitor,1
0,fungicide,Annual_biomass,0,invader,0
0,fungicide,Perennial_biomass,719.3230208644524,competitor,1
1,fungicide,Annual_biomass,10.809592901600743,invader,0.015027453019104305
1,fungicide,Perennial_biomass,718.8547441875119,competitor,0.9993490036279143
2,fungicide,Annual_biomass,356.3774263956455,invader,0.4954344794461965
2,fungicide,Perennial_biomass,701.8504861431685,competitor,0.9757097517881659
3,fungicide,Annual_biomass,618.7057073732285,invader,0.8601222113393422
3,fungicide,Perennial_biomass,677.3127039365105,competitor,0.9415974246487265
4,fungicide,Annual_biomass,628.5032261307158,invader,0.8737426829123401
4,fungicide,Perennial_biomass,669.5114809875358,competitor,0.9307521955615224
5,fungicide,Annual_biomass,629.9590147990057,invader,0.8757665145235408
5,fungicide,Perennial_biomass,666.6268674773354,competitor,0.9267420173432113
6,fungicide,Annual_biomass,630.4336789983502,invader,0.876426390803844
6,fungicide,Perennial_biomass,665.5229188832525,competitor,0.9252073124025071
7,fungicide,Annual_biomass,630.6112937332239,invader,0.8766733101011859
7,fungicide,Perennial_biomass,665.0995118114893,competitor,0.9246186935769141
8,fungicide,Annual_biomass,630.6790589267255,invader,0.8767675170034204
8,fungicide,Perennial_biomass,664.9373574939409,competitor,0.9243932672901903
9,fungicide,Annual_biomass,630.704966589375,invader,0.876803533732898
9,fungicide,Perennial_biomass,664.8753235187195,competitor,0.9243070279047931
10,fungicide,Annual_biomass,630.714871315097,invader,0.8768173032431663
10,fungicide,Perennial_biomass,664.8516043274959,competitor,0.9242740535795796
11,fungicide,Annual_biomass,630.7186574773533,invader,0.8768225667508625
11,fungicide,Perennial_biomass,664.842537190304,competitor,0.9242614484815515
12,fungicide,Annual_biomass,630.7201046648939,invader,0.8768245786252202
12,fungicide,Perennial_biomass,664.8390714210991,competitor,0.924256630383
13,fungicide,Annual_biomass,630.7206578071218,invader,0.8768253476013433
13,fungicide,Perennial_biomass,664.8377467353142,competitor,0.9242547888100954
14,fungicide,Annual_biomass,630.7208692257723,invader,0.8768256415147095
14,fungicide,Perennial_biomass,664.8372404214928,competitor,0.9242540849346363
15,fungicide,Annual_biomass,630.7209500325127,invader,0.8768257538519185
15,fungicide,Perennial_biomass,664.8370469022113,competitor,0.9242538159049017
16,fungicide,Annual_biomass,630.7209809177598,invader,0.876825796788466
