effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),2.4976152182081237,0.183384241782939,2.138539537602676,2.8614324700522977
fixed,cond,NA,foca,-0.9561858170928728,0.20912787772429822,-1.3692897970853226,-0.5469239147343588
fixed,cond,NA,focs,-2.3021060813230667,0.15360783743609938,-2.599698660196664,-1.9996120377531805
fixed,cond,NA,fungicide,0.23217371595902458,0.23915739981653134,-0.23082833978217226,0.702433220222501
fixed,cond,NA,plot_biomass,-8.431228034364565e-4,9.204780465027868e-4,-0.002659531129883477,9.521094540748521e-4
fixed,cond,NA,foca:fungicide,-0.6598898578461687,0.27913593822062965,-1.2129742370416339,-0.11492502250330594
fixed,cond,NA,focs:fungicide,0.082381441294693,0.20549144810736183,-0.3145266931223957,0.48573698419168193
fixed,cond,NA,plot_biomass:bga,0.0011428266611658684,0.005400121625582053,-0.009728175452956999,0.011600232320363607
fixed,cond,NA,plot_biomass:bgs,0.009525114548600128,0.006704318075468888,-0.0038346338548376734,0.022483063628858935
fixed,cond,NA,foca:plot_biomass,2.994183299149844e-4,0.0010537783212873034,-0.0017774331692643486,0.002369452367163881
fixed,cond,NA,focs:plot_biomass,4.317550066758789e-4,7.718362402770751e-4,-0.0011067885982409555,0.0019343303357095022
fixed,cond,NA,fungicide:plot_biomass,-3.191234200709179e-4,0.0011187814319005617,-0.0025112334780362663,0.0018921907045187658
fixed,cond,NA,foca:plot_biomass:bga,-0.008407505320273692,0.006838822044414402,-0.021875143036155894,0.005231436911811085
fixed,cond,NA,focs:plot_biomass:bga,-5.710000072913874e-4,0.004505730751336719,-0.009424326449772268,0.00822487707852826
fixed,cond,NA,foca:plot_biomass:bgs,-0.005590937457691141,0.007916158863948098,-0.02100255701880678,0.009996109670573407
fixed,cond,NA,focs:plot_biomass:bgs,6.913939047411177e-4,0.005880980687164305,-0.010950285846150123,0.012161842475059472
fixed,cond,NA,fungicide:plot_biomass:bga,-3.357596630530712e-4,0.006101763505689098,-0.01219702916958898,0.011792133571232438
fixed,cond,NA,fungicide:plot_biomass:bgs,-0.007606597313051568,0.008653458542140233,-0.024433982338849726,0.009445901272679698
fixed,cond,NA,foca:fungicide:plot_biomass,9.346973942938896e-4,0.0012951981025172371,-0.0016012877483668698,0.0034407359510945546
fixed,cond,NA,focs:fungicide:plot_biomass,-7.345695213188913e-5,9.486386892496382e-4,-0.0019231451641992634,0.001809139751942243
fixed,cond,NA,foca:fungicide:plot_biomass:bga,0.017593368942725323,0.007769721031245728,0.0023225004638634827,0.032631735025297835
fixed,cond,NA,focs:fungicide:plot_biomass:bga,-7.48902431598893e-4,0.005143073190767072,-0.010748353339307853,0.00939038983181943
fixed,cond,NA,foca:fungicide:plot_biomass:bgs,0.016285128387489314,0.010291310010624093,-0.00399759624179172,0.03659845803035462
fixed,cond,NA,focs:fungicide:plot_biomass:bgs,0.004323418558682918,0.0076137796981607005,-0.010500854497298331,0.019260809947275807
ran_pars,cond,plotf,sd__(Intercept),0.45549270825213617,0.051965978729756786,0.36278341185240204,0.5650730276576449
ran_pars,cond,Residual,sd__Observation,0.5904301984996073,0.02056639363502568,0.5515207597434779,0.6321861182209781
