year,focal,background,treatment,Estimate,Est.Error,CI.Lower,CI.Upper
2019,Ev adult,Ev adult,control,0.004285034678429553,0.009307770617445527,-0.014080665158651492,0.022617533419206106
2019,Ev adult,Ev adult,fungicide,0.007186315843061917,0.005035914071714467,-0.002750890770959234,0.01701891141625962
2019,Ev first-year,Ev adult,control,0.003279490410013583,0.005596889746282121,-0.0078115499106671355,0.014312119738878032
2019,Ev first-year,Ev adult,fungicide,-0.005198029638986588,0.00299279054885096,-0.011130158962862001,6.712216165873196e-4
2019,Mv,Ev adult,control,-0.0016386389320037942,0.005366850051654842,-0.012111499318564655,0.008828349426862718
2019,Mv,Ev adult,fungicide,-0.006380267584142629,0.002921703786360936,-0.01215277903594562,-5.401499630343474e-4
2019,Ev adult,Ev first-year,control,0.005247589462107069,0.010729193219798537,-0.01573296991591167,0.026346443966821013
2019,Ev adult,Ev first-year,fungicide,0.01470965822104083,0.009165077824796296,-0.0033053718482862647,0.03272073325909108
2019,Ev first-year,Ev first-year,control,0.01631054517044162,0.006446652874643753,0.0036683551425984655,0.02897956205295791
2019,Ev first-year,Ev first-year,fungicide,0.009927522522115166,0.005393896205422418,-5.935818885779146e-4,0.020514143542273808
2019,Mv,Ev first-year,control,0.017217413208222603,0.0061893233255894235,0.005167184865439387,0.029481411293283015
2019,Mv,Ev first-year,fungicide,0.0057054459732211234,0.0057122226632387646,-0.005654086448972955,0.016874630157108553
2019,Ev adult,Mv,control,-0.0010449138652151193,0.0015075007339545627,-0.00401364817872558,0.0019252596698459434
2019,Ev adult,Mv,fungicide,5.698987842473927e-4,0.0011803713677478725,-0.0017694056358866241,0.0028537831253681476
2019,Ev first-year,Mv,control,-0.0014909349289349823,0.0010121832294934885,-0.0034909162355405638,4.661774013915981e-4
2019,Ev first-year,Mv,fungicide,-9.598735951985535e-4,7.332324514169157e-4,-0.002378241437572386,4.63843791329111e-4
2019,Mv,Mv,control,-7.885555455394716e-4,9.225273298618768e-4,-0.002590045553991123,0.0010184562433930746
2019,Mv,Mv,fungicide,-4.0003249669666533e-4,6.817015832255227e-4,-0.0017433524730613385,9.397909664945557e-4
