Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(density:focs) = 0,-0.003165846375544923,0.004989529129807529,-0.012877907987151752,0.006573248251846198,NA,NA,
(density:focs+density:focs:fungicide) = 0,-0.006098461441409465,0.005150565027914954,-0.015925928744291242,0.0039600534617420255,NA,NA,
(density:foca) = 0,-0.00349694026792614,0.006325943378695703,-0.0160149672966881,0.008841157696759324,NA,NA,
(density:foca+density:foca:fungicide) = 0,-0.006589573905164913,0.006591518086401581,-0.01964243607248922,0.006273426226969185,NA,NA,
(density:focs+density:focs:bgs) = 0,0.03218612680740851,0.024780227693703367,-0.016492931253702096,0.08047390503194346,NA,NA,
(density:focs+density:focs:bgs+density:focs:fungicide+density:focs:bgs:fungicide) = 0,-0.021040350493143765,0.02681327765579433,-0.07360068002246616,0.031377852128289016,NA,NA,
(density:focs+density:focs:bgs)-(density:foca+density:foca:bgs) = 0,0.032621280574999675,0.034584978201565766,-0.03385243813094394,0.10102041676606449,NA,NA,
(density:focs+density:focs:bgs+density:focs:fungicide+density:focs:bgs:fungicide)-(density:foca+density:foca:bgs+density:foca:fungicide+density:foca:bgs:fungicide) = 0,-0.04186978689044536,0.035934859509329925,-0.11343213548973999,0.02927957455685855,NA,NA,
(density:foca+density:foca:bga) = 0,0.026105810120825447,0.06367727843888996,-0.0999723685870003,0.15317398105869207,NA,NA,
(density:foca+density:foca:bga+density:foca:fungicide+density:foca:bga:fungicide) = 0,-0.018055042408058785,0.07553277608620407,-0.1658613591727494,0.1298899004777808,NA,NA,
(density:foca+density:foca:bga)-(density:focs+density:focs:bga) = 0,-0.0013788095104366276,0.07013030003213687,-0.13944936750886677,0.1367201197128045,NA,NA,
(density:foca+density:foca:bga+density:foca:fungicide+density:foca:bga:fungicide)-(density:focs+density:focs:bga+density:focs:fungicide+density:focs:bga:fungicide) = 0,0.1414557212310645,0.0838029833302804,-0.02276870280227832,0.3056845309140104,NA,NA,
