plant_group,fungicide,trend,lower.HPD,upper.HPD,source,weeks,treatment,sig
Invader (Mv),0,0.0594432569826854,0.033872581579899474,0.08478961624655668,Surrounding invader,16,control,yes
1st yr comp. (Ev),0,-0.020810936306785745,-0.05891153257514503,0.01471543248386098,Surrounding invader,16,control,no
Adult comp. (Ev),0,-0.04398032051361563,-0.12167866012516981,0.030822107848152314,Surrounding invader,16,control,no
Invader (Mv),1,0.03384073355774998,0.01200121645932839,0.05810771842640605,Surrounding invader,16,fungicide,yes
1st yr comp. (Ev),1,-0.01264364653168214,-0.04605167149064471,0.02290129290899756,Surrounding invader,16,fungicide,no
Adult comp. (Ev),1,0.015363717124591827,-0.044035231384683016,0.08111155468742481,Surrounding invader,16,fungicide,no
Invader (Mv),0,0.011639272571895492,-0.010813295180053473,0.03414224202131422,Invader (Mv),16,control,no
1st yr comp. (Ev),0,0.0385943649665429,0.004438966127814581,0.0717524957793998,Invader (Mv),16,control,yes
Adult comp. (Ev),0,0.07067106037064079,0.004240140050931984,0.14252515876712124,Invader (Mv),16,control,yes
Invader (Mv),1,0.04559406684959926,-0.17729909875114558,0.3059254663156814,Invader (Mv),16,fungicide,no
1st yr comp. (Ev),1,0.07020396603092623,-0.368686743620394,0.4863284703811672,Invader (Mv),16,fungicide,no
Adult comp. (Ev),1,-0.006275409234083848,-0.5111256749393505,0.48924014364482815,Invader (Mv),16,fungicide,no
Invader (Mv),0,-0.014358567967651396,-0.0341098011108123,0.004729106384981918,1st yr comp. (Ev),16,control,no
1st yr comp. (Ev),0,0.012709572513688597,-0.023311634815009086,0.049234546733899265,1st yr comp. (Ev),16,control,no
Adult comp. (Ev),0,-0.06898904806217886,-0.19875899056832935,0.05543715008974459,1st yr comp. (Ev),16,control,no
Invader (Mv),1,0.03063825323144156,-0.0025205621736894557,0.06412122191074587,1st yr comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.03487546074569634,-0.009055002360412345,0.08031848988083823,1st yr comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,-0.006492684820790989,-0.09334973858661755,0.07305088953115302,1st yr comp. (Ev),16,fungicide,no
Invader (Mv),0,-0.058990254986820374,-0.13837855240939945,0.019337770966096457,Adult comp. (Ev),16,control,no
1st yr comp. (Ev),0,-0.03542602792601745,-0.1617619701788584,0.09820849059548209,Adult comp. (Ev),16,control,no
Adult comp. (Ev),0,0.002345157211402442,-0.27193228218737886,0.28925838165250184,Adult comp. (Ev),16,control,no
Invader (Mv),1,0.006463311689840568,-0.03082514557149807,0.042781478455303557,Adult comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.04680679177557055,-0.03356852397993748,0.13352870291939212,Adult comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,-0.004259272520804605,-0.2863669099369872,0.28584343697841064,Adult comp. (Ev),16,fungicide,no
Invader (Mv),0,0.03609192644094056,-0.007143184215699705,0.07751731356942315,Surrounding invader,12,control,no
1st yr comp. (Ev),0,-0.028024181347306408,-0.13099878448437607,0.07919995441373828,Surrounding invader,12,control,no
Adult comp. (Ev),0,-0.054918643908413486,-0.23026402597221818,0.11262188309603971,Surrounding invader,12,control,no
Invader (Mv),1,0.02951802723502509,0.00310374982752748,0.05417485419323853,Surrounding invader,12,fungicide,yes
1st yr comp. (Ev),1,0.032327974621837265,-0.0845157042206921,0.15343722985247155,Surrounding invader,12,fungicide,no
Adult comp. (Ev),1,0.1522429401840104,-0.08605491983328761,0.40090794431517907,Surrounding invader,12,fungicide,no
Invader (Mv),0,-0.018606631279737603,-0.1331886507654758,0.09647826752001265,Invader (Mv),12,control,no
1st yr comp. (Ev),0,-0.07485760314682413,-0.46225957407477836,0.3130040365917921,Invader (Mv),12,control,no
Adult comp. (Ev),0,-0.10931802648730621,-0.5428406994737998,0.3337116912853162,Invader (Mv),12,control,no
Invader (Mv),1,-0.009266869902569516,-0.10581456938055567,0.08512054724553764,Invader (Mv),12,fungicide,no
1st yr comp. (Ev),1,-0.05142867554514586,-0.48774928465195444,0.3921082128135822,Invader (Mv),12,fungicide,no
Adult comp. (Ev),1,-0.09497465223385146,-0.7048421082802179,0.5035164530090697,Invader (Mv),12,fungicide,no
Invader (Mv),0,0.026839960011507197,0.012216055292674,0.04087115192663404,1st yr comp. (Ev),12,control,yes
1st yr comp. (Ev),0,-0.018394952523065448,-0.04949727872175558,0.012621512828218329,1st yr comp. (Ev),12,control,no
Adult comp. (Ev),0,-0.013299734609477693,-0.07524817369611014,0.045069455888778975,1st yr comp. (Ev),12,control,no
Invader (Mv),1,0.0011627153890713922,-0.009982303219360666,0.011346112588700663,1st yr comp. (Ev),12,fungicide,no
1st yr comp. (Ev),1,0.02671349206227794,-0.0071332181421865926,0.057080238687998275,1st yr comp. (Ev),12,fungicide,no
Adult comp. (Ev),1,-0.015668693413741323,-0.10113508143583516,0.06072811166201575,1st yr comp. (Ev),12,fungicide,no
Invader (Mv),0,0.036734324366602684,0.004130740898716567,0.07127640979579297,Adult comp. (Ev),12,control,yes
1st yr comp. (Ev),0,-0.06330751022500831,-0.14283119100061015,0.02004927115822852,Adult comp. (Ev),12,control,no
Adult comp. (Ev),0,-0.01342306699573183,-0.18368823790189026,0.1516195183290847,Adult comp. (Ev),12,control,no
Invader (Mv),1,0.013569083372522875,-0.007723474720712886,0.035972136926314846,Adult comp. (Ev),12,fungicide,no
1st yr comp. (Ev),1,0.09026944172651793,0.020603711278312176,0.15652849489303833,Adult comp. (Ev),12,fungicide,yes
Adult comp. (Ev),1,0.0065763714728818675,-0.1467517412605588,0.15961372706257748,Adult comp. (Ev),12,fungicide,no
Invader (Mv),0,0.008065893425165916,-0.005150086977453228,0.021691027867985824,Surrounding invader,8,control,no
1st yr comp. (Ev),0,0.0551518895038262,0.02125099374515571,0.09452430878435791,Surrounding invader,8,control,yes
Adult comp. (Ev),0,0.050223966449806,-0.012468357031877986,0.11348142497163138,Surrounding invader,8,control,no
Invader (Mv),1,5.220982686899411e-4,-0.00486444871013525,0.005862276092035046,Surrounding invader,8,fungicide,no
1st yr comp. (Ev),1,0.004554537899483409,-0.011521665449929941,0.020120446242177792,Surrounding invader,8,fungicide,no
Adult comp. (Ev),1,0.022051859015007575,-0.003220253371530646,0.04749177535075688,Surrounding invader,8,fungicide,no
Invader (Mv),0,2.92542269202464e-4,-0.005102681862413583,0.005288901591576689,Invader (Mv),8,control,no
1st yr comp. (Ev),0,0.004400711223926624,-0.011667593807244359,0.01902995998095136,Invader (Mv),8,control,no
Adult comp. (Ev),0,0.00508973460581707,-0.0218181570668996,0.029836681203878612,Invader (Mv),8,control,no
Invader (Mv),1,-6.542275280463423e-4,-0.03866138893312909,0.040060472793078894,Invader (Mv),8,fungicide,no
1st yr comp. (Ev),1,0.019161240845982117,-0.13105192423996392,0.1816766433629784,Invader (Mv),8,fungicide,no
Adult comp. (Ev),1,-0.00916342444685671,-0.19324617209406014,0.18790661211214044,Invader (Mv),8,fungicide,no
Invader (Mv),0,-5.881872138295259e-4,-0.00474769157856425,0.00346493645328394,1st yr comp. (Ev),8,control,no
1st yr comp. (Ev),0,0.0038436666094164777,-0.006255838385232693,0.013521671704207705,1st yr comp. (Ev),8,control,no
Adult comp. (Ev),0,0.01727422229223389,-0.004152983972376845,0.038160094814877255,1st yr comp. (Ev),8,control,no
Invader (Mv),1,-2.8806132012748164e-4,-0.004574851925902124,0.0036176537392362818,1st yr comp. (Ev),8,fungicide,no
1st yr comp. (Ev),1,0.009182408961217954,-0.001477236968110418,0.020180947797946658,1st yr comp. (Ev),8,fungicide,no
Adult comp. (Ev),1,-0.0014794472484147632,-0.018078835758711165,0.014654754540430304,1st yr comp. (Ev),8,fungicide,no
Invader (Mv),0,0.002349337258175119,-0.009491986482760062,0.01431393964881078,Adult comp. (Ev),8,control,no
1st yr comp. (Ev),0,0.04084842021635973,0.014069781198912779,0.0690015597773943,Adult comp. (Ev),8,control,yes
Adult comp. (Ev),0,-0.021211762841327402,-0.07525794615416004,0.03345893600490513,Adult comp. (Ev),8,control,no
Invader (Mv),1,-3.7664938484324853e-4,-0.006032689414674941,0.005079658980448265,Adult comp. (Ev),8,fungicide,no
1st yr comp. (Ev),1,0.030956795315477022,0.016901514220229785,0.044545468117970444,Adult comp. (Ev),8,fungicide,yes
Adult comp. (Ev),1,-0.022145925917770766,-0.04646336681732066,5.103668535646477e-4,Adult comp. (Ev),8,fungicide,no
