month,site,plot,treatment,sp,ID,focal,age,leaves_tot,leaves_infec,leaf_area.pix,lesion_area.pix,severity,plant_group,next_severity,Mv_dens,EvS_dens,EvA_dens,Mv_sev,Ev_sev,Mv_sev_dens,EvS_sev_dens,EvA_sev_dens,edge_severity,dew_c,temp_avg_s,hum_avg_s,fungicide,plotf,next_severity_l,next_severity_t
jul,D1,1,fungicide,Mv,1,1,seedling,7,0,212492,0,0,Mv,7.034565038774522e-4,3,3,1,2.1564903923525057e-4,0.23499459677271645,4.3129807847050114e-4,0.7049837903181493,0.23499459677271645,0.03763776107760716,NA,NA,NA,1,D11f,-7.257381262767792,0.001674850557371854
jul,D1,1,fungicide,Mv,2,1,seedling,5,1,124276,134,2.1564903923525057e-4,Mv,1.0884403940523189e-4,3,3,1,0,0.23499459677271645,0,0.7049837903181493,0.23499459677271645,0.03763776107760716,NA,NA,NA,1,D11f,-9.116341153763067,0.001081394926488101
jul,D1,2,fungicide,Mv,1,1,seedling,6,1,554291,1607,4.8319985952024e-4,Mv,0.01413641829976795,7,3,1,0.0012087469311562594,0.09388231930409177,0.007252481586937557,0.28164695791227534,0.09388231930409177,0.131757973385381,NA,NA,NA,1,D12f,-4.244693941503778,0.015081678186344276
jul,D1,2,fungicide,Mv,2,1,seedling,3,1,365498,312,2.8454328067458644e-4,Mv,0.0035338874038663296,7,3,1,0.0013080752205790864,0.09388231930409177,0.007848451323474517,0.28164695791227534,0.09388231930409177,0.131757973385381,NA,NA,NA,1,D12f,-5.641534688594988,0.00449977478245803
jul,D1,2,fungicide,Mv,3,1,seedling,5,2,359502,1917,0.0021329505816379325,Mv,0.0016339046660106638,7,3,1,3.838715700974132e-4,0.09388231930409177,0.002303229420584479,0.28164695791227534,0.09388231930409177,0.131757973385381,NA,NA,NA,1,D12f,-6.414536544054068,0.0026034885090729
jul,D1,3,fungicide,Mv,1,1,seedling,6,0,496256,0,0,Mv,0,19,3,1,4.456078837013366e-5,0.1207144045423378,8.020941906624059e-4,0.3621432136270134,0.1207144045423378,0.0027857015510786235,NA,NA,NA,1,D13f,-13.815509557990529,9.727626459143969e-4
jul,D1,3,fungicide,Mv,2,1,seedling,8,1,645409,350,6.778647338354439e-5,Mv,4.0906487768960155e-5,19,3,1,1.0667551678361464e-5,0.1207144045423378,1.9201593021050636e-4,0.3621432136270134,0.1207144045423378,0.0027857015510786235,NA,NA,NA,1,D13f,-10.080029948662082,0.0010135895490768025
jul,D1,3,fungicide,Mv,3,1,seedling,6,1,421840,54,2.1335103356722928e-5,Mv,1.083881251245268e-4,19,3,1,3.3893236691772195e-5,0.1207144045423378,6.100782604518995e-4,0.3621432136270134,0.1207144045423378,0.0027857015510786235,NA,NA,NA,1,D13f,-9.120500807174604,0.00108093989920016
jul,D1,4,fungicide,Mv,1,1,seedling,5,0,118092,0,0,Mv,8.05527257961133e-4,67,3,1,9.649785478148368e-5,0.09778748333222904,0.006368858415577923,0.29336244999668715,0.09778748333222904,0.010121602037649639,NA,NA,NA,1,D14f,-7.121968009584777,0.001776722730221909
jul,D1,4,fungicide,Mv,2,1,seedling,10,1,285088,176,6.1735323829835e-5,Mv,8.623973382774209e-5,67,3,1,6.563019286656618e-5,0.09778748333222904,0.004331592729193368,0.29336244999668715,0.09778748333222904,0.010121602037649639,NA,NA,NA,1,D14f,-9.346765401379912,0.0010588345981588166
jul,D1,4,fungicide,Mv,3,1,seedling,7,1,364597,335,1.3126038573313235e-4,Mv,3.4184643838742004e-4,67,3,1,3.08676619149175e-5,0.09778748333222904,0.002037265686384555,0.29336244999668715,0.09778748333222904,0.010121602037649639,NA,NA,NA,1,D14f,-7.9778870021698065,0.0013139440134100127
jul,D1,5,fungicide,Mv,1,1,seedling,7,2,357374,928,7.419198294863564e-4,Mv,5.805130920978928e-4,3,7,1,2.855191200674086e-4,0.0750191678821239,5.710382401348173e-4,0.5251341751748673,0.0750191678821239,0.08290723886504421,NA,NA,NA,1,D15f,-7.449297387391204,0.0015521463351093755
jul,D1,5,fungicide,Mv,2,1,seedling,6,2,618828,729,3.926777715294072e-4,Mv,0.0010140232121275462,3,7,1,4.601401490458832e-4,0.0750191678821239,9.202802980917664e-4,0.5251341751748673,0.0750191678821239,0.08290723886504421,NA,NA,NA,1,D15f,-6.891830259023347,0.0019848130502362477
jul,D1,5,fungicide,Mv,3,1,seedling,6,2,476563,255,1.7836046860540998e-4,Mv,9.877018256846813e-4,3,7,1,5.672988005078818e-4,0.0750191678821239,0.0011345976010157636,0.5251341751748673,0.0750191678821239,0.08290723886504421,NA,NA,NA,1,D15f,-6.918130571554988,0.001958542872716423
jul,D1,6,fungicide,Mv,1,1,seedling,5,0,224591,0,0,Mv,0,3,11,1,0,0.04281185820380885,0,0.4709304402418974,0.04281185820380885,9.403322458292958e-4,NA,NA,NA,1,D16f,-13.815509557990529,9.727626459143969e-4
jul,D1,6,fungicide,Mv,2,1,seedling,4,0,212191,0,0,Mv,0,3,11,1,0,0.04281185820380885,0,0.4709304402418974,0.04281185820380885,9.403322458292958e-4,NA,NA,NA,1,D16f,-13.815509557990529,9.727626459143969e-4
jul,D1,6,fungicide,Mv,3,1,seedling,9,0,276892,0,0,Mv,0,3,11,1,0,0.04281185820380885,0,0.4709304402418974,0.04281185820380885,9.403322458292958e-4,NA,NA,NA,1,D16f,-13.815509557990529,9.727626459143969e-4
jul,D1,7,fungicide,Mv,1,1,seedling,7,1,285577,2207,0.0011040304866488347,Mv,0,3,19,1,4.496574734196226e-6,0.1631354278924486,8.993149468392451e-6,3.0995731299565232,0.1631354278924486,0.00181199173275205,NA,NA,NA,1,D17f,-13.815509557990529,9.727626459143969e-4
jul,D1,7,fungicide,Mv,2,1,seedling,4,1,444783,16,8.993149468392451e-6,Mv,0,3,19,1,5.520152433244174e-4,0.1631354278924486,0.0011040304866488347,3.0995731299565232,0.1631354278924486,0.00181199173275205,NA,NA,NA,1,D17f,-13.815509557990529,9.727626459143969e-4
jul,D1,7,fungicide,Mv,3,1,seedling,2,1,438523,0,0,Mv,0,3,19,1,5.565118180586136e-4,0.1631354278924486,0.0011130236361172271,3.0995731299565232,0.1631354278924486,0.00181199173275205,NA,NA,NA,1,D17f,-13.815509557990529,9.727626459143969e-4
jul,D1,8,fungicide,Mv,1,1,seedling,5,1,105968,538,0.0010154008757360712,Mv,0.017528246009046837,3,3,3,4.482561493105554e-4,0.06785198802805378,8.965122986211108e-4,0.20355596408416135,0.20355596408416135,0.3734388111927026,NA,NA,NA,1,D18f,-4.026201925395184,0.018466907009029237
jul,D1,8,fungicide,Mv,2,1,seedling,7,2,393365,825,5.992253650281182e-4,Mv,3.058848853214907e-4,3,3,3,6.563439046645319e-4,0.06785198802805378,0.0013126878093290637,0.20355596408416135,0.20355596408416135,0.3734388111927026,NA,NA,NA,1,D18f,-8.088732909186698,0.0012780524244551065
jul,D1,8,fungicide,Mv,3,1,seedling,7,1,165785,345,2.9728693359299264e-4,Mv,0.0016173902669168448,3,3,3,8.073131203820947e-4,0.06785198802805378,0.0016146262407641895,0.20355596408416135,0.20355596408416135,0.3734388111927026,NA,NA,NA,1,D18f,-6.424705586875767,0.002587006239160197
jul,D1,9,fungicide,Mv,1,1,seedling,4,1,97502,170,4.3588849459498264e-4,Mv,3.751802228561727e-4,3,3,5,6.129069300109089e-4,0.14644141473015646,0.0012258138600218177,0.43932424419046934,0.7322070736507823,0.0029427515125659645,NA,NA,NA,1,D19f,-7.885067957742565,0.001347212946158009
jul,D1,9,fungicide,Mv,2,1,seedling,5,1,139336,854,0.0012258138600218177,Mv,0,3,3,5,2.1794424729749132e-4,0.14644141473015646,4.3588849459498264e-4,0.43932424419046934,0.7322070736507823,0.0029427515125659645,NA,NA,NA,1,D19f,-13.815509557990529,9.727626459143969e-4
jul,D1,9,fungicide,Mv,3,1,seedling,6,0,137641,0,0,Mv,1.5564445068269898e-4,3,3,5,8.308511773084002e-4,0.14644141473015646,0.0016617023546168005,0.43932424419046934,0.7322070736507823,0.0029427515125659645,NA,NA,NA,1,D19f,-8.761377296961161,0.0011281042863817599
jul,D1,10,fungicide,Mv,1,1,seedling,6,0,449383,0,0,Mv,2.0826993741197844e-4,3,3,9,1.1703206678629944e-5,0.12388341874143985,2.340641335725989e-5,0.3716502562243196,1.1149507686729587,0.006473119002810747,NA,NA,NA,1,D110f,-8.471678271813857,0.0011806273888956126
