site_plot,trial,seeds,germination_final,seeds_dark,seeds_light,seeds_infect,prop_germ,prop_dark,prop_light,site,plot,treatment,fungicide,plotf,sp,age,jul_severity,late_aug_severity,sep_severity
D1 2F,0,30,25,2,14,1,0.8333333333333334,0.06666666666666667,0.4666666666666667,D1,2,fungicide,1,D12f,Mv,seedling,0.01232302371805507,0.00266746978686881,0.02918501655847537
D1 2W,0,30,26,2,11,1,0.8666666666666667,0.06666666666666667,0.36666666666666664,D1,2,control,0,D12c,Mv,seedling,0.02286846130339777,0.02878958409120706,0.191726029312149
D1 9W,0,30,26,5,11,1,0.8666666666666667,0.16666666666666666,0.36666666666666664,D1,9,control,0,D19c,Mv,seedling,0.00489181662573757,0.00712638192953153,0.08247033318623821
D2 10W,0,30,29,14,16,1,0.9666666666666667,0.4666666666666667,0.5333333333333333,D2,10,control,0,D210c,Mv,seedling,0.00319729871503328,0.09752582363265884,0.2616679202972654
D2 1W,0,30,26,5,7,1,0.8666666666666667,0.16666666666666666,0.23333333333333334,D2,1,control,0,D21c,Mv,seedling,5.005438804057757e-4,0.00151597346131538,0.00180471393708622
D2 3F,0,21,16,1,10,1,0.7619047619047619,0.047619047619047616,0.47619047619047616,D2,3,fungicide,1,D23f,Mv,seedling,0.00354565454139703,0.00334546415336816,0.01543517818480981
D3 8W,0,30,28,3,9,1,0.9333333333333333,0.1,0.3,D3,8,control,0,D38c,Mv,seedling,9.710230720684732e-4,0.03283041216392068,0.08391468161797382
D3 9W,0,30,24,4,14,1,0.8,0.13333333333333333,0.4666666666666667,D3,9,control,0,D39c,Mv,seedling,4.655825999084707e-4,0.07103346406560383,0.6263069052827394
D4 5F,0,30,26,1,11,1,0.8666666666666667,0.03333333333333333,0.36666666666666664,D4,5,fungicide,1,D45f,Mv,seedling,3.802572789170694e-4,0.00219338621096522,0.00335171606114369
D4 8W,0,30,23,8,7,1,0.7666666666666667,0.26666666666666666,0.23333333333333334,D4,8,control,0,D48c,Mv,seedling,6.18522407143674e-4,0.03681182846819435,0.19169097432067875
D1 1W,0,30,29,4,10,1,0.9666666666666667,0.13333333333333333,0.3333333333333333,D1,1,control,0,D11c,Mv,seedling,0.00142286217881188,0.03090062565907514,0.2108592619776045
